Code,Lat,Long,Cluster
100001,12.914194,77.678944,ORR
100002,12.928931,77.669496,ORR
100003,12.929655,77.684501,ORR
100004,12.937127,77.69327,ORR
100005,12.9520441,77.7000248,ORR
100006,12.9479476,77.6989445,ORR
100007,12.951038,77.69955,ORR
100008,12.92691667,77.67129167,ORR
100009,12.923909,77.672509,ORR
100010,12.931539,77.677637,ORR
100011,12.933882,77.721609,ORR
100012,12.917251,77.716801,ORR
100013,12.910995,77.697877,ORR
100014,12.909607,77.696899,ORR
100015,12.932003,77.696366,ORR
100016,12.912663,77.711207,ORR
100017,12.9395049,77.68981397,ORR
100018,12.97686,77.72153,Whitefield
100019,12.924401,77.667042,ORR
100020,12.914336,77.715995,ORR
100021,12.910884,77.70658,ORR
100022,12.905877,77.699807,ORR
100023,12.977788,77.675304,Indiranagar
100024,12.972723,77.678026,Indiranagar
100025,12.930554,77.703173,ORR
100026,12.930671,77.704042,ORR
100027,12.929912,77.704185,ORR
100028,12.973177,77.6756151,Indiranagar
100029,12.98248,77.75731,Whitefield
100030,12.918273,77.675061,ORR
100031,12.98299,77.75518,Whitefield
100032,13.0767589,77.6410164,Bhartiya City
100033,13.08489,77.64562,Bhartiya City
100034,13.08292,77.64266,Bhartiya City
100035,12.909444,77.683961,ORR
100036,12.98903,77.71561,Whitefield
100037,12.947884,77.708362,ORR
100038,12.97205,77.75033,Whitefield
100039,12.97914,77.70147,Whitefield
100040,12.979461,77.699414,Whitefield
100041,12.99718,77.74328,Whitefield
100042,12.98844,77.71614,Whitefield
100043,12.934027,77.686392,ORR
100044,12.916551,77.676115,ORR
100045,12.976411,77.626887,Indiranagar
100046,12.964836,77.64926,Indiranagar
100048,12.951333,77.639724,Indiranagar
100049,12.9717168,77.6654562,Indiranagar
100050,12.9761403,77.6752735,Indiranagar
100051,12.92001,77.66566,ORR
100052,12.895692,77.7058,ORR
100053,12.911481,77.676569,ORR
100054,12.910332,77.679649,ORR
100055,12.908833,77.681162,ORR
100056,12.99566,77.76136,Whitefield
100057,12.97839167,77.69793167,Whitefield
100058,12.978488,77.698313,Whitefield
100059,12.9754518,77.6995627,Whitefield
100060,12.976345,77.70123167,Whitefield
100061,12.97431,77.75885,Whitefield
100062,12.97468,77.75862,Whitefield
100063,12.97944,77.76705,Whitefield
100064,12.907455,77.680263,ORR
100065,12.956451,77.6487,Indiranagar
100066,12.959365,77.652383,Indiranagar
100067,12.98032,77.76637,Whitefield
100068,12.97894,77.76817,Whitefield
100069,12.938023,77.687397,ORR
100070,12.98028,77.76603,Whitefield
100071,12.97859,77.70312,Whitefield
100072,12.9757285,77.6971505,Whitefield
100073,13.0139652,77.7614075,Whitefield
100074,12.910082,77.67808,ORR
100075,13.013943,77.7614078,Whitefield
100076,12.9598772,77.7012466,Whitefield
100077,12.960502,77.700955,Whitefield
100078,12.968617,77.749607,Whitefield
100079,12.956047,77.693562,Indiranagar
100080,12.93141,77.68652,ORR
100081,12.9521049,77.7122216,ORR
100082,12.978807,77.66635,Indiranagar
100083,12.9587893,77.746246,Whitefield
100084,12.95587775,77.72823863,Whitefield
100085,12.910518,77.680804,ORR
100086,12.928816,77.671779,ORR
100087,12.95585,77.72562,Whitefield
100088,12.9558379,77.7128367,Whitefield
100089,12.9904044,77.7236048,Whitefield
100090,12.98911929,77.72802005,Whitefield
100091,12.9870819,77.7317456,Whitefield
100092,12.986192,77.731546,Whitefield
100093,12.976127,77.72704,Whitefield
100094,12.976376,77.7269803,Whitefield
100095,12.99472667,77.76661333,Whitefield
100096,12.96424786,77.74859716,Whitefield
100097,13.00692,77.752936,Whitefield
100098,12.9567822,77.7384439,Whitefield
100099,12.963714,77.711419,Whitefield
100100,12.96272,77.713333,Whitefield
100101,12.962848,77.716922,Whitefield
100102,12.992082,77.71517,Whitefield
100103,12.9797547,77.7518117,Whitefield
100104,12.958616,77.665428,Indiranagar
100105,12.933754,77.68961,ORR
100106,12.948743,77.71311,ORR
100107,12.906114,77.675621,ORR
100108,12.907056,77.675737,ORR
100109,12.910031,77.674927,ORR
100110,12.906869,77.697056,ORR
100111,12.906861,77.696421,ORR
100112,12.982193,77.752164,Whitefield
100113,12.955682,77.716547,Whitefield
100114,12.955896,77.722395,Whitefield
100115,12.981156,77.693103,Whitefield
100116,12.990195,77.717187,Whitefield
100117,12.99123,77.7484,Whitefield
100118,13.02765,77.76548,Whitefield
100119,12.98345,77.76782,Whitefield
100120,12.97863,77.7247,Whitefield
100121,12.985244,77.727277,Whitefield
100122,12.982122,77.72595,Whitefield
100123,12.982122,77.72595,Whitefield
100124,12.904044,77.696494,ORR
100125,12.90334,77.696012,ORR
100126,12.902341,77.685282,ORR
100127,12.967485,77.715152,Whitefield
100128,12.98039,77.72386,Whitefield
100129,12.977677,77.713652,Whitefield
100130,12.903613,77.682512,ORR
100131,12.904481,77.684205,ORR
100132,12.908631,77.683687,ORR
100133,12.895154,77.709465,ORR
100134,12.914897,77.701969,ORR
100135,12.917674,77.698277,ORR
100136,12.918694,77.697198,ORR
100137,12.923872,77.695114,ORR
100138,12.92864,77.694763,ORR
100139,12.96027,77.7207,Whitefield
100140,12.97672,77.7509,Whitefield
100141,12.96397,77.73309,Whitefield
100142,12.96532694,77.71647815,Whitefield
100143,12.97214,77.71754,Whitefield
100144,12.98509716,77.73791201,Whitefield
100145,12.98358615,77.73772057,Whitefield
100146,12.98393475,77.73871332,Whitefield
100147,12.98241667,77.73787167,Whitefield
100148,12.98179483,77.73722235,Whitefield
100149,12.9848456,77.73707181,Whitefield
100150,12.98490167,77.73428167,Whitefield
100151,12.98471167,77.73396,Whitefield
100152,12.96747321,77.73096878,Whitefield
100153,12.97325391,77.7168389,Whitefield
100154,12.99616952,77.71962941,Whitefield
100155,12.97698108,77.73351755,Whitefield
100156,12.99028,77.71407,Whitefield
100157,12.98926,77.689,Whitefield
100158,12.989538,77.71709,Whitefield
100159,12.97420956,77.71798287,Whitefield
100160,12.98082973,77.71767743,Whitefield
100161,12.98092513,77.71413188,Whitefield
100162,12.97901454,77.74223104,Whitefield
100163,12.95690472,77.73648642,Whitefield
